Level Number,Number of Users,APS,Success Rate,FAR,Churn,ARPU
1,50000,1.1,0.98,0.92,0.01,0.05
2,49500,1.15,0.97,0.90,0.01,0.08
3,49000,1.2,0.96,0.88,0.01,0.10
4,48500,1.25,0.95,0.85,0.02,0.12
5,47500,1.3,0.94,0.82,0.02,0.15
6,46500,1.35,0.93,0.80,0.02,0.18
7,45500,1.4,0.92,0.78,0.02,0.20
8,44500,1.5,0.90,0.75,0.03,0.22
9,43200,1.6,0.88,0.72,0.03,0.25
10,41800,1.8,0.85,0.68,0.04,0.30
11,40100,2.0,0.82,0.65,0.04,0.35
12,38500,2.2,0.80,0.62,0.05,0.40
13,36600,2.5,0.78,0.58,0.05,0.45
14,34700,2.8,0.75,0.55,0.06,0.50
15,32600,3.0,0.72,0.50,0.06,0.55
16,30600,3.2,0.70,0.48,0.07,0.60
17,28400,3.5,0.68,0.45,0.08,0.65
18,26100,3.8,0.65,0.42,0.09,0.70
19,23700,4.0,0.62,0.40,0.10,0.75
20,21300,4.2,0.60,0.38,0.11,0.80
21,18900,4.5,0.58,0.35,0.12,0.85
22,16600,4.8,0.55,0.32,0.14,0.90
23,14300,5.0,0.52,0.30,0.16,0.95
24,12000,5.2,0.50,0.28,0.18,1.00
25,9800,5.5,0.48,0.25,0.20,1.10
26,7800,5.8,0.45,0.22,0.22,1.20
27,6100,6.0,0.42,0.20,0.25,1.30
28,4600,6.2,0.40,0.18,0.28,1.40
29,3300,6.5,0.38,0.15,0.30,1.50
30,2300,7.0,0.35,0.12,0.35,1.60
